
Modulo: 01 (Inizio:    0.0000, Fine:  240.0000)
   L:01 F:  60.000 (ABC: +0.20, +0.40), at:   0.0000 d: 240.0000 fine: 240.0000
   L:02 F:2804.910 (ABC: +0.02, +0.04), at:  39.7500 d: 191.2500 fine: 231.0000
   L:03 F:2887.150 (ABD: +0.02, +0.06), at:  62.9509 d: 159.0491 fine: 222.0000
   L:04 F:  61.740 (ABD: +0.20, +0.60), at:  78.7502 d: 134.2498 fine: 213.0000
   L:05 F:3240.940 (ABE: +0.02, +0.08), at:  85.3502 d: 118.6498 fine: 204.0000
   L:06 F:  63.560 (ABE: +0.20, +0.80), at:  88.5011 d: 106.4989 fine: 195.0000
   L:07 F:  65.430 (ABF: +0.20, +1.00), at:  87.0008 d:  98.9992 fine: 186.0000
   L:08 F:  67.350 (ABG: +0.20, -0.10), at:  83.6210 d:  93.3790 fine: 177.0000
   L:09 F:3148.620 (ABF: +0.02, +0.10), at:  78.8404 d:  89.1596 fine: 168.0000
   L:10 F:3058.940 (ABG: +0.02, -0.01), at:  72.8609 d:  86.1391 fine: 159.0000
   L:11 F:  69.320 (ABH: +0.20, -0.30), at:  65.2507 d:  84.7493 fine: 150.0000
   L:12 F:  71.350 (ABI: +0.20, -0.50), at:  57.8815 d:  83.1185 fine: 141.0000
   L:13 F:  73.450 (ABL: +0.20, -0.70), at:  49.6210 d:  82.3790 fine: 132.0000

Modulo: 02 (Inizio:   73.8462, Fine:  313.8462)
   L:01 F:  75.600 (ABM: +0.20, -0.90), at:   0.0000 d: 240.0000 fine: 240.0000
   L:02 F:  77.820 (ACD: +0.40, +0.60), at:  40.5000 d: 191.2500 fine: 231.7500
   L:03 F:2971.800 (ABH: +0.02, -0.03), at:  64.4509 d: 159.0491 fine: 223.5000
   L:04 F:  80.100 (ACE: +0.40, +0.80), at:  81.0002 d: 134.2498 fine: 215.2500
   L:05 F:2725.010 (ABI: +0.02, -0.05), at:  88.3502 d: 118.6498 fine: 207.0000
   L:06 F:2647.390 (ABL: +0.02, -0.07), at:  92.2511 d: 106.4989 fine: 198.7500
   L:07 F:2358.240 (ABM: +0.02, -0.09), at:  91.5008 d:  98.9992 fine: 190.5000
   L:08 F:  82.450 (ACF: +0.40, +1.00), at:  88.8710 d:  93.3790 fine: 182.2500
   L:09 F:  84.870 (ACG: +0.40, -0.10), at:  84.8404 d:  89.1596 fine: 174.0000
   L:10 F:2427.540 (ACD: +0.04, +0.06), at:  79.6109 d:  86.1391 fine: 165.7500
   L:11 F:2498.720 (ACE: +0.04, +0.08), at:  72.7507 d:  84.7493 fine: 157.5000
   L:12 F:2571.980 (ACF: +0.04, +0.10), at:  66.1315 d:  83.1185 fine: 149.2500
   L:13 F:  87.350 (ACH: +0.40, -0.30), at:  58.6210 d:  82.3790 fine: 141.0000

Modulo: 03 (Inizio:  141.5385, Fine:  381.5385)
   L:01 F:  89.920 (ACI: +0.40, -0.50), at:   0.0000 d: 240.0000 fine: 240.0000
   L:02 F:  92.550 (ACL: +0.40, -0.70), at:  41.2500 d: 191.2500 fine: 232.5000
   L:03 F:1387.200 (ABC: +0.20, +0.40), at:  65.9509 d: 159.0491 fine: 225.0000
   L:04 F:  95.270 (ACM: +0.40, -0.90), at:  83.2502 d: 134.2498 fine: 217.5000
   L:05 F:  98.060 (ADE: +0.60, +0.80), at:  91.3502 d: 118.6498 fine: 210.0000
   L:06 F:1348.240 (ABD: +0.20, +0.60), at:  96.0011 d: 106.4989 fine: 202.5000
   L:07 F: 100.930 (ADF: +0.60, +1.00), at:  96.0008 d:  98.9992 fine: 195.0000
   L:08 F: 103.890 (ADG: +0.60, -0.10), at:  94.1210 d:  93.3790 fine: 187.5000
   L:09 F:1309.830 (ABE: +0.20, +0.80), at:  90.8404 d:  89.1596 fine: 180.0000
   L:10 F: 106.940 (ADH: +0.60, -0.30), at:  86.3609 d:  86.1391 fine: 172.5000
   L:11 F: 396.540 (ABC: +0.20, +0.40), at:  80.2507 d:  84.7493 fine: 165.0000
   L:12 F: 385.240 (ABD: +0.20, +0.60), at:  74.3815 d:  83.1185 fine: 157.5000
   L:13 F: 110.080 (ADI: +0.60, -0.50), at:  67.6210 d:  82.3790 fine: 150.0000

Modulo: 04 (Inizio:  203.0769, Fine:  443.0769)
   L:01 F:2804.910 (ACG: +0.04, -0.01), at:   0.0000 d: 240.0000 fine: 240.0000
   L:02 F:1272.520 (ABF: +0.20, +1.00), at:  42.0000 d: 191.2500 fine: 233.2500
   L:03 F: 374.270 (ABE: +0.20, +0.80), at:  67.4509 d: 159.0491 fine: 226.5000
   L:04 F: 113.300 (ADL: +0.60, -0.70), at:  85.5002 d: 134.2498 fine: 219.7500
   L:05 F:2887.150 (ACH: +0.04, -0.03), at:  94.3502 d: 118.6498 fine: 213.0000
   L:06 F:1236.280 (ABG: +0.20, -0.10), at:  99.7511 d: 106.4989 fine: 206.2500
   L:07 F:1166.850 (ABH: +0.20, -0.30), at: 100.5008 d:  98.9992 fine: 199.5000
   L:08 F: 116.630 (ADM: +0.60, -0.90), at:  99.3710 d:  93.3790 fine: 192.7500
   L:09 F: 120.000 (AEF: +0.80, +1.00), at:  96.8404 d:  89.1596 fine: 186.0000
   L:10 F:3058.940 (ACI: +0.04, -0.05), at:  93.1109 d:  86.1391 fine: 179.2500
   L:11 F:1201.060 (ABI: +0.20, -0.50), at:  87.7507 d:  84.7493 fine: 172.5000
   L:12 F:3148.620 (ACL: +0.04, -0.07), at:  82.6315 d:  83.1185 fine: 165.7500
   L:13 F:3240.940 (ACM: +0.04, -0.09), at:  76.6210 d:  82.3790 fine: 159.0000

Modulo: 05 (Inizio:  258.4615, Fine:  498.4615)
   L:01 F: 408.000 (ABF: +0.20, +1.00), at:   0.0000 d: 240.0000 fine: 240.0000
   L:02 F: 257.050 (ABG: +0.20, -0.10), at:  42.7500 d: 191.2500 fine: 234.0000
   L:03 F: 396.540 (ABH: +0.20, -0.30), at:  68.9509 d: 159.0491 fine: 228.0000
   L:04 F: 204.000 (ABI: +0.20, -0.50), at:  87.7502 d: 134.2498 fine: 222.0000
   L:05 F: 228.990 (ABL: +0.20, -0.70), at:  97.3502 d: 118.6498 fine: 216.0000
   L:06 F: 235.710 (ABM: +0.20, -0.90), at: 103.5011 d: 106.4989 fine: 210.0000
   L:07 F: 209.980 (ACD: +0.40, +0.60), at: 105.0008 d:  98.9992 fine: 204.0000
   L:08 F: 249.730 (ACE: +0.40, +0.80), at: 104.6210 d:  93.3790 fine: 198.0000
   L:09 F: 216.130 (ACF: +0.40, +1.00), at: 102.8404 d:  89.1596 fine: 192.0000
   L:10 F: 222.470 (ACG: +0.40, -0.10), at:  99.8609 d:  86.1391 fine: 186.0000
   L:11 F: 242.620 (ACH: +0.40, -0.30), at:  95.2507 d:  84.7493 fine: 180.0000
   L:12 F: 264.590 (ACI: +0.40, -0.50), at:  90.8815 d:  83.1185 fine: 174.0000
   L:13 F: 374.270 (ACL: +0.40, -0.70), at:  85.6210 d:  82.3790 fine: 168.0000

Modulo: 06 (Inizio:  307.6923, Fine:  547.6923)
   L:01 F: 981.100 (ABL: +0.20, -0.70), at:   0.0000 d: 240.0000 fine: 240.0000
   L:02 F: 953.100 (ABM: +0.20, -0.90), at:  43.5000 d: 191.2500 fine: 234.7500
   L:03 F:1009.800 (ACD: +0.40, +0.60), at:  70.4509 d: 159.0491 fine: 229.5000
   L:04 F: 926.000 (ACE: +0.40, +0.80), at:  90.0002 d: 134.2498 fine: 224.2500
   L:05 F:1039.400 (ACF: +0.40, +1.00), at: 100.3502 d: 118.6498 fine: 219.0000
   L:06 F: 899.600 (ACG: +0.40, -0.10), at: 107.2511 d: 106.4989 fine: 213.7500
   L:07 F:1069.900 (ACH: +0.40, -0.30), at: 109.5008 d:  98.9992 fine: 208.5000
   L:08 F: 874.000 (ACI: +0.40, -0.50), at: 109.8710 d:  93.3790 fine: 203.2500
   L:09 F:1101.300 (ACL: +0.40, -0.70), at: 108.8404 d:  89.1596 fine: 198.0000
   L:10 F: 849.100 (ACM: +0.40, -0.90), at: 106.6109 d:  86.1391 fine: 192.7500
